"","county","decimalLatitude","decimalLongitude","state","mean_lrem","mean_skel","mean_stipp","mean_bmine","mean_smine","mean_SM"
"1","Addison",44.03020186,-73.14171839,"Vermont",0.333333333333333,0.333333333333333,0,0,0,0
"2","Androscoggin",44.16572498,-70.20664907,"Maine",1,0,0.666666666666667,0,0,0
"3","Aroostook",46.65881107,-68.59753795,"Maine",1,0.25,0.125,0,0,0
"4","Barnstable",41.72741411,-70.29265824,"Massachusetts",2.42857142857143,0.428571428571429,0,0,0,0
"5","Belknap",43.51819011,-71.42336011,"New Hampshire",1.3,0.8,0,0,0,0
"6","Bennington",43.03516549,-73.09382147,"Vermont",2.5,0.166666666666667,0.333333333333333,0.666666666666667,0,0
"7","Berkshire",42.3708893,-73.20736933,"Massachusetts",2.23076923076923,0.307692307692308,0.153846153846154,0.307692307692308,0,0
"8","Bristol",41.71481073,-71.28386993,"Rhode Island",0.5,0,0,0,0,0
"9","Bristol",41.80146413,-71.11511193,"Massachusetts",1.66666666666667,0.111111111111111,0,0.222222222222222,0.333333333333333,0
"10","Caledonia",44.46478495,-72.1023771,"Vermont",2,0.333333333333333,0,0,0,0
"11","Carroll",43.87354949,-71.20280644,"New Hampshire",2.6,1.2,0.133333333333333,0,0,0
"12","Cheshire",42.91987071,-72.25131549,"New Hampshire",1.31578947368421,0.842105263157895,0.263157894736842,0,0.0526315789473684,0
"13","Chittenden",44.46078451,-73.08157094,"Vermont",0.444444444444444,0,0.555555555555556,0,0,0
"14","Coos",44.69113626,-71.30575056,"New Hampshire",0.85,0.15,0.2,0,0,0
"15","Cumberland",43.85089087,-70.42166764,"Maine",1,0,0.375,0,0,0
"16","Dukes",41.38783074,-70.63580856,"Massachusetts",2.42857142857143,1,0.714285714285714,0.285714285714286,0.428571428571429,0
"17","Essex",42.67251757,-70.95675298,"Massachusetts",2.05555555555556,0.444444444444444,0,0,0,0
"18","Essex",44.72685019,-71.73694682,"Vermont",0,0,0,0,0,0
"19","Fairfield",41.2735673,-73.38971484,"Connecticut",1,0,0.125,0,0,0
"20","Franklin",42.58285555,-72.59088089,"Massachusetts",1.88888888888889,0.444444444444444,0,0,0.111111111111111,0.333333333333333
"21","Franklin",44.85732541,-72.91218769,"Vermont",1.5,0.5,0,0,0,0
"22","Franklin",44.97446879,-70.44456105,"Maine",1,0.714285714285714,0,0,0,0
"23","Grafton",43.94064865,-71.82037983,"New Hampshire",1.4,0.2,0,0,0,0
"24","Grand Isle",44.79648049,-73.29579597,"Vermont",1.66666666666667,0,0,0,0,0
"25","Hampden",42.13519179,-72.63148328,"Massachusetts",1.5,0.5,0.416666666666667,0.25,0,0.583333333333333
"26","Hampshire",42.34002109,-72.66388792,"Massachusetts",2,0.555555555555556,0.333333333333333,0.111111111111111,0,0.777777777777778
"27","Hancock",44.71937721,-68.35093412,"Maine",2.75,0.125,0,0,0,0
"28","Hartford",41.80663095,-72.73281062,"Connecticut",2.375,0.625,0.25,0,0,0
"29","Hillsborough",42.91521915,-71.71640205,"New Hampshire",0.761904761904762,0.380952380952381,0.238095238095238,0,0,0
"30","Kennebec",44.40918511,-69.76754865,"Maine",2.5,0.25,0,0,0,0
"31","Kent",41.67199981,-71.59283792,"Rhode Island",1,1.66666666666667,0,0,0,0
"32","Knox",44.16599739,-69.23415562,"Maine",2.2,0.2,0,0,0,0
"33","Lamoille",44.6059487,-72.64174734,"Vermont",0.5,0.25,0,0,0,0
"34","Lincoln",44.08469776,-69.53816351,"Maine",1,0,2.33333333333333,0.333333333333333,0,0
"35","Litchfield",41.79313353,-73.24593103,"Connecticut",1.25,0,0,0,0,0
"36","Merrimack",43.2972412,-71.68020149,"New Hampshire",1.875,0.875,0.25,0,0,0
"37","Middlesex",42.48561893,-71.39231762,"Massachusetts",1.26785714285714,0.910714285714286,0.125,0.214285714285714,0.0178571428571429,0.142857142857143
"38","Nantucket",41.27748275,-70.06440374,"Massachusetts",3,0.166666666666667,0,0,0,0
"39","New Haven",41.4110097,-72.93220924,"Connecticut",0.857142857142857,0.857142857142857,0,0,0,0
"40","New London",41.49007583,-72.10136656,"Connecticut",2,0.333333333333333,0.666666666666667,0,0,0
"41","Newport",41.5682519,-71.17096237,"Rhode Island",0,1,1,0,0,0
"42","Norfolk",42.15578347,-71.22284325,"Massachusetts",1.37037037037037,0.222222222222222,0.111111111111111,0.0740740740740741,0.111111111111111,0
"43","Orange",44.00520414,-72.37708961,"Vermont",4,0,0,0,0,0
"44","Orleans",44.82874804,-72.24380168,"Vermont",2,0,0,0,0,0
"45","Oxford",44.50063479,-70.75677904,"Maine",1.18181818181818,0.272727272727273,0.272727272727273,0,0,0
"46","Penobscot",45.40052445,-68.64944327,"Maine",0,0.5,0,0,0,0
"47","Piscataquis",45.83747651,-69.28450619,"Maine",0.2,0.4,0,0,0,0
"48","Plymouth",41.95116826,-70.81229032,"Massachusetts",1.3,0.4,0.3,0.2,0,0
"49","Providence",41.87209876,-71.58140319,"Rhode Island",1.91304347826087,0.434782608695652,0.304347826086957,0.391304347826087,0,0.260869565217391
"50","Rockingham",42.9862675,-71.12965423,"New Hampshire",1.125,0.5625,0.0625,0.1875,0,0
"51","Rutland",43.57979599,-73.03849339,"Vermont",1.72222222222222,0.444444444444444,0,0.166666666666667,0.111111111111111,0
"52","Sagadahoc",44.0308287,-69.88070652,"Maine",1.14285714285714,0.142857142857143,1.14285714285714,0.142857142857143,0,0
"53","Somerset",45.51395705,-69.95928163,"Maine",1.875,0,0,0,0,0
"54","Strafford",43.29843356,-71.03135074,"New Hampshire",1.90909090909091,0.818181818181818,0.0909090909090909,0,0,0
"55","Suffolk",42.30617406,-71.10355093,"Massachusetts",1.78571428571429,0.357142857142857,0.0714285714285714,0.214285714285714,0,0
"56","Sullivan",43.36082213,-72.22193259,"New Hampshire",1.5,1,0,0,0,0
"57","Tolland",41.85523858,-72.33658014,"Connecticut",0.5,0.5,0,0,0,0.25
"58","Waldo",44.50687764,-69.15467897,"Maine",2.33333333333333,0.666666666666667,0,0,0,0
"59","Washington",41.47898279,-71.62418496,"Rhode Island",2,1.16666666666667,0.166666666666667,0,0,0
"60","Washington",45.04190519,-67.63636625,"Maine",1.83333333333333,0.666666666666667,0,0,0,0
"61","Windham",41.83086229,-71.98763435,"Connecticut",0.5,0,1,0,0,0
"62","Windham",42.99027958,-72.71386511,"Vermont",0.8,0.1,0,0.4,0,0
"63","Windsor",43.57931592,-72.58536362,"Vermont",1,0.166666666666667,0,0,0.166666666666667,0
"64","Worcester",42.35208868,-71.90798778,"Massachusetts",1.12,0.88,0.24,0.08,0,0.16
"65","York",43.48033291,-70.71549145,"Maine",0.357142857142857,0.0714285714285714,0.214285714285714,0.142857142857143,0.0714285714285714,0
